Diệu Phúc - 1393 Trần Hưng Đạo,"1393 Trần Hưng Đạo, P. Mỹ Long, TP. Long Xuyên, An Giang",POINT (105.4410717929775 10.376645632214904),CPS-AGI-LXG-1393THD
Diệu Phúc - 148 Trường Chinh,"148 Trường Chinh, P.12, Q. Tân Bình",POINT (106.649866 10.7950367),CPS-HCM-TBI-148TC
Diệu Phúc - 237 Lý Thái Tổ,"237 Lý Thái Tổ , Xã Nhơn Trạch, T. Đồng Nai",POINT (106.93685311020053 10.757990021830764),CPS-DON-NTR-237LTT
Diệu Phúc - 272 Lê Lợi,"272 Lê Lợi, P. Châu Đốc, An Giang",POINT (105.13134785766977 10.70401115147859),CPS-AGI-CDO-272LL
Diệu Phúc - 896 Hà Huy Giáp,"896 Hà Huy Giáp, Thạnh Lộc, Q.12, TP. Hồ Chí Minh",POINT (106.68792529999999 10.89340304901),CPS-HCM-Q12-896HHG
HTV - 310 Cầu Giấy,"310 Cầu Giấy, P. Dịch Vọng, Q. Cầu Giấy, Hà Nội",POINT (105.79390959999999 21.035538190881017),CPS-HNO-CGI-310CG
HTV - 51 Ngô Xuân Quảng,"51 Ngô Xuân Quảng, TT. Trâu Quỳ, H. Gia Lâm, Hà Nội",POINT (105.9376220711648 21.019949505423604),CPS-HNO-GLA-51NXQ
Diệu Phúc - 35 Hùng Vương,"35 Hùng Vương, TP. Phú Quốc, Kiên Giang",POINT (103.9723605711648 10.22358224161542),CPS-KGI-PQU-35HV
Điện Thoại Vui HCM - 43D Hòa Bình,"43D Hòa Bình, Phường Tân Thới Hoà, Quận Tân Phú",POINT (106.6352783 10.7692955),
Diệu Phúc - 63/1 Đường 22 tháng 12,"63/1 Đường 22 tháng 12 , P. An Phú, TP. Thuận An, Bình Dương",POINT (106.7419671644181 10.946534273867199),
Điện Thoại Vui ASP - CareS 272 đường 30 tháng 4,"CareS 272 đường 30 tháng 4, P. Hưng Lợi, Q. Ninh Kiều, TP. Cần Thơ",POINT (105.768399524708 10.019829582184846),CPS-CTH-NKI-272BMTT
Diệu Phúc - 190B Hoàng Văn Thụ,"190B Hoàng Văn Thụ, P4, Q. Tân Bình, TP. HCM",POINT (106.660608 10.800317),CPS-HCM-TBI-190BHVT
Diệu Phúc - Số 156 DT 747,"Số 156 DT 747, Tân Uyên, Bình Dương",POINT (106.76664533592208 11.100615159682546),CPS-BDU-TAU-156DT747
Điện Thoại Vui HCM - 191 Khánh Hội,"191 Khánh Hội, Phường 6, Quận 4, TP. HCM",POINT (106.70007749879882 10.757614447887846),
Diệu Phúc - 253 Nguyễn An Ninh,"253 Nguyễn An Ninh, TP. Dĩ An, Bình Dương",POINT (106.7679501 10.9050591),CPS-BDU-DAN-253NAN
Diệu Phúc - 966 -968 Phú Riềng Đỏ,"966 -968 Phú Riềng Đỏ, TP. Đồng Xoài,  Bình Phước",POINT (106.8934749822647 11.529155088980673),CPS-BPH-DXO-968PRD
Diệu Phúc - 100,"100, Nguyễn Văn Tiết, P. Lái Thiêu, TX. Thuận An, Bình Dương",POINT (106.70308275951669 10.910470030678201),CPS-BDU-TAN-100NVT
Diệu Phúc - 114 Phan Đăng Lưu,"114 Phan Đăng Lưu, P. 3, Q. Phú Nhuận, TP. HCM",POINT (106.6839651 10.8028862),CPS-HCM-PNH-114PDL
Diệu Phúc - 2 Lê Hồng Phong,"2 Lê Hồng Phong, P. Tân Đông Hiệp, TP. HCM",POINT (106.76897277116457 10.916461204130972),CPS-HCM-TDO-2LHP
Diệu Phúc - 449 - 451 Tân Kỳ Tân Quý,"449 - 451 Tân Kỳ Tân Quý, P. Tân Quý, Q. Tân Phú, TP. HCM",POINT (106.6198215 10.7995757),CPS-HCM-TPH-449TKTQ
Diệu Phúc - 912 - 915 Trần Hưng Đạo,"912 - 915 Trần Hưng Đạo, P. Bình Khánh, TP. Long Xuyên, An Giang",POINT (105.42552228650555 10.394118009723236),CPS-AGI-LXG-912THD
Diệu Phúc - 956 Âu Cơ,"956 Âu Cơ, P.14, Q. Tân Bình, TP. HCM",POINT (106.6380005 10.7969874),CPS-HCM-TBI-956AC
Điện Thoại Vui HCM - 56/2B Nguyễn Ảnh Thủ,"56/2B Nguyễn Ảnh Thủ, phường Trung Mỹ Tây, Quận 12",POINT (106.6137076 10.8647049),
Điện Thoại Vui HCM - 570 Âu Cơ,"570 Âu Cơ, Phường 10, Quận Tân Bình",POINT (106.6430928 10.7820835),
Điện Thoại Vui ASP - CareS 133 Thái Hà,"CareS 133 Thái Hà, P. Trung Liệt, Q. Đống Đa, Hà Nội",POINT (105.8192349202385 21.013583944542745),CPS-HNO-DDA-133TH
Diệu Phúc - 157-159 Nguyễn Thị Minh Khai,"157-159 Nguyễn Thị Minh Khai, P. Phạm Ngũ Lão, Q. 1, TP. HCM",POINT (106.6868288 10.7706433),CPS-HCM-Q01-157NTMK
Diệu Phúc - 24 Điện Biên Phủ,"24 Điện Biên Phủ, P. 6, TP. Trà Vinh, Trà Vinh",POINT (106.34114632883521 9.925187044678443),CPS-TVI-TVI-24DBP
Diệu Phúc - 15C - 18C Đại Lộ Đồng Khởi,"15C - 18C Đại Lộ Đồng Khởi, P. Phú Khương, TP. Bến Tre, Bến Tre",POINT (106.3747358 10.2475525),CPS-BTR-BTR-15DK
Diệu Phúc - 386 Hương Lộ 2,"386 Hương Lộ 2, P. Bình Trị Đông, Q. Bình Tân (Ngã Tư Bốn Xã), TP. HCM",POINT (106.6207802 10.7735932),CPS-HCM-BTA-386HL2
Diệu Phúc - 4/39 Quang Trung,"4/39 Quang Trung, Thới Tam Thôn, H. Hóc Môn, TP. HCM",POINT (106.6017294 10.8880213),CPS-HCM-HMO-4/39QT
Điện Thoại Vui HCM - 451 Đại Lộ Bình Dương,"451 Đại Lộ Bình Dương,  P. Phú Cường, TP. Thủ Dầu Một, Bình Dương",POINT (106.66707717116444 10.980772545375617),
Điện Thoại Vui HN - 153 Hồ Tùng Mậu,"153 Hồ Tùng Mậu, P. Cầu Diễn, Q. Nam Từ Liêm, Hà Nội",POINT (105.76463159140181 21.04048415008598),
Điện Thoại Vui HN - 274 Nguyễn Văn Cừ,"274 Nguyễn Văn Cừ, Phường Bồ Đề, Quận Long Biên",POINT (105.8741071 21.0446629),
Điện Thoại Vui HN - 34 Quang Trung,"34 Quang Trung, Quận Hà Đông",POINT (105.7755747 20.9709929),
Điện Thoại Vui ASP - CareS 139 Trần Não,"CareS 139 Trần Não, Phường An Khánh, Quận 2, Hồ Chí Minh",POINT (106.73078390382831 10.792150894770991),
Diệu Phúc - 18 Võ Văn Ngân,"18 Võ Văn Ngân, P. Trường Thọ, Q. Thủ Đức, TP. HCM",POINT (106.7557799 10.8508587),CPS-HCM-TDU-18VVN
Diệu Phúc - 214 Quốc Lộ 22,"214 Quốc Lộ 22, Thị Trấn Trảng Bàng, Tây Ninh",POINT (106.35397142944406 11.033519395780118),CPS-TNI-TBG-214QL22
Diệu Phúc - 256A Ba Cu,"256A Ba Cu, phường 3, TP. Vũng Tàu",POINT (107.0835205 10.3539529),CPS-BRI-VTA-256ABC
Diệu Phúc - 272 đường 30 tháng 4,"272 đường 30 tháng 4, P. Hưng Lợi, Q. Ninh Kiều, Cần Thơ",POINT (105.76800255582405 10.020186160388615),CPS-CTH-NKI-272BMTT
Diệu Phúc - 287-289 Trần Phú,"287-289 Trần Phú, Phường 7, TP Bạc Liêu, Tỉnh Bạc Liêu",POINT (105.72129301164591 9.294713253512285),CPS-BLI-BLI-289TP
Diệu Phúc - 1716/1 Huỳnh Tấn Phát,"1716/1 Huỳnh Tấn Phát, thị trấn Nhà Bè, Huyện Nhà Bè, TP. HCM",POINT (106.73831489999999 10.699879517136566),CPS-HCM-NBE-1716HTP
Diệu Phúc - 272 Nguyễn Oanh,"272 Nguyễn Oanh, P.17, Q. Gò Vấp, TP. HCM",POINT (106.6757041 10.8379696),CPS-HCM-GVA-272NO
Diệu Phúc - 279 Đường Bùi Thị Xuân,"279 Đường Bùi Thị Xuân, Phường 8, Đà Lạt, Lâm Đồng",POINT (108.43863454907336 11.94955648244948),CPS-LDO-DLA-279BTX
Điện Thoại Vui HN - 23 Phố Hàng Bài,"23 Phố Hàng Bài, P. Hàng Bài, Q. Hoàn Kiếm",POINT (105.852909 21.023542),
Điện Thoại Vui HN - 298 Nguyễn Trãi,"298 Nguyễn Trãi, P. Thanh Xuân Trung, Q. Thanh Xuân, Hà Nội",POINT (105.81120347532874 20.997563452640247),
Điện Thoại Vui HN - 306 Cầu Giấy,"306 Cầu Giấy, Phường Dịch Vọng, Quận Cầu Giấy",POINT (105.80477200681179 21.029009007938438),
Điện Thoại Vui HN - 524 Trương Định,"524 Trương Định, P. Tân Mai, Q. Hoàng Mai - Ngã tư Tân Mai, Trương Định",POINT (105.8459875 20.9843222),
Diệu Phúc - 347 Nguyễn Tri Phương,"347 Nguyễn Tri Phương, Phường 5, Quận 10, TP. HCM",POINT (106.6680703 10.7624755),CPS-HCM-Q10-347NTP
Diệu Phúc - 427 Đại lộ Bình Dương,"427 Đại lộ Bình Dương, P. Phú Cường, TP. Thủ Dầu Một, Bình Dương",POINT (106.6672872 10.9796441),CPS-BDU-TDM-427DLBD
Điện Thoại Vui ASP - CareS 286 đường 3 Tháng 2,"CareS 286 đường 3 Tháng 2, Q. 10, TP. Hồ Chí Minh",POINT (106.6719273981537 10.770781366439149),
Diệu Phúc - 241 Lê Văn Việt,"241 Lê Văn Việt, P. Hiệp Phú, Q.9, TP. HCM",POINT (106.7839699 10.8443187),CPS-HCM-Q09-241LVV
Diệu Phúc - 289 Quang Trung,"289 Quang Trung, P. Trần Hưng Đạo, TP. Quảng Ngãi, Quảng Ngãi",POINT (108.80305919999999 15.125548343102965),CPS-QNG-QNG-289QT
Điện Thoại Vui HN - 19 Thái Hà,"19 Thái Hà, Quận Đống Đa",POINT (105.822051423314 21.01085064109075),
Diệu Phúc - 472 Ấp Bắc,"472 Ấp Bắc, P.5, TP. Mỹ Tho, Tiền Giang",POINT (106.35221354232962 10.369803609606969),CPS-TGI-MTO-472AB
Diệu Phúc - 55B Trần Quang Khải,"55B Trần Quang Khải, P. Tân Định, Q. 1, TP. HCM",POINT (106.6942016 10.7921871),CPS-HCM-Q01-55BTQK
Diệu Phúc - 81 Thống Nhất,"81 Thống Nhất, Huyện Đức Trọng, Lâm Đồng",POINT (108.37516916627135 11.733082673704894),CPS-LDO-DTR-81TN
HTV - 143 Nghi Tàm,"143 Nghi Tàm, P. Tây Hồ, Q. Tây Hồ, Hà Nội",POINT (105.83700442883539 21.054402283129022),CPS-HNO-THO-143NT
HTV - 19 Trần Hưng Đạo,"19 Trần Hưng Đạo, P. Hồng Gai, Quảng Ninh",POINT (107.0852952288354 20.95410373798984),CPS-QNI-HGA-19THD
HTV - 78 Ngô Gia Tự,"78 Ngô Gia Tự, TP. Hải Phòng",POINT (106.70279558465839 20.8300636725362),CPS-HPH-HAN-78NGT
HTV - 05 Hùng Vương,"05 Hùng Vương, P. Phú Hội, TP. Huế, Thừa Thiên Huế",POINT (107.5923169423296 16.466091843283383),CPS-HUE-PHO-5HV
HTV - 162 Lạch Tray,"162 Lạch Tray, P. Lạch Tray, Q. Ngô Quyền, TP. Hải Phòng",POINT (106.6919276 20.8448571),CPS-HPH-HPH-162LT
HTV - 248 Hồ Tùng Mậu,"248 Hồ Tùng Mậu, P. Phú Diễn, TP. Hà Nội",POINT (105.76612707301807 21.04061903778202),CPS-HNO-PDI-248HTM
HTV - 770 Quang Trung,"770 Quang Trung, P. Dương Nội, Q. Hà Đông, Hà Nội",POINT (105.75735751534161 20.9569998493615),CPS-HNO-DNO-770QT
HTV - 276 Lê Hoàn,"276 Lê Hoàn, P. Hà Nam, T. Ninh Bình",POINT (105.91308402883539 20.542288009338026),CPS-NBI-HNA-276LH
HTV - 200 Hoàng Văn Thụ,"200 Hoàng Văn Thụ, P. Phan Đình Phùng, TP. Thái Nguyên, Thái Nguyên",POINT (105.82928785582152 21.58869071476124),CPS-TNG-TNG-200HVT
HTV - 244 Phạm Văn Đồng,"244 Phạm Văn Đồng, P. Cổ Nhuế, Q. Bắc Từ Liêm, Hà Nội",POINT (105.78330904232769 21.061415569522932),CPS-HNO-BTL-244PVD
HTV - 81 Trần Phú,"81 Trần Phú, P. Trần Phú, TP. Hà Tĩnh, Hà Tĩnh",POINT (105.89253422883553 18.341870459209066),CPS-HTI-HTI-81TP
Diệu Phúc - 134 Nguyễn Thái Học,"134 Nguyễn Thái Học, P. Phạm Ngũ Lão, Q.1, TP HCM",POINT (106.6950697 10.7689581),CPS-HCM-Q01-134NTH
Diệu Phúc - 377-379 Điện Biên Phủ,"377-379 Điện Biên Phủ, P. 25, Q. Bình Thạnh, TP. HCM",POINT (106.7120266 10.8018149),CPS-HCM-BTH-377DBP
Diệu Phúc - 31 Nguyễn Hữu Thọ,"31 Nguyễn Hữu Thọ, P. Phước Trung, TP. Bà Rịa, Bà Rịa-Vũng Tàu",POINT (107.17326032883551 10.492770288614507),CPS-BRI-BRI-31NHT
Diệu Phúc - 114 - 116 Phan Bội Châu,"114 - 116 Phan Bội Châu, P. Thống Nhất, TP. Buôn Ma Thuột, Đắk Lắk",POINT (108.04119387116482 12.6828229088835),CPS-DLA-BMT-116PBC
Diệu Phúc - 17 Phan Văn Hớn,"17 Phan Văn Hớn, P. Tân Thới Nhất, Q.12, TP. HCM",POINT (106.6241677 10.8272466),CPS-HCM-Q12-17PVH
Diệu Phúc - 21 Quang Trung,"21 Quang Trung, P. Hội Thương, TP. Pleiku, Gia Lai",POINT (108.00573275767105 13.977175268377007),CPS-GLA-PKU-21QT
Diệu Phúc - 339 Thống Nhất,"339 Thống Nhất, P. Thanh Sơn, TP. Phan Rang - Tháp Chàm, Ninh Thuận",POINT (108.99108642328405 11.570643774141658),CPS-NTH-PHR-339TN
Diệu Phúc - 34 -36 -38 Trần Hưng Đạo,"34 -36 -38 Trần Hưng Đạo, P. 5, TP. Cà Mau, Cà Mau",POINT (105.15661919998081 9.1793992871559),CPS-CMA-CMA-34THD
Điện Thoại Vui HCM - 129 Lê Văn Việt,"129 Lê Văn Việt, Phường Hiệp Phú, Quận 9",POINT (106.7783932 10.8463035),
Điện Thoại Vui HCM - 132 Nguyễn Thị Tú,"132 Nguyễn Thị Tú, Phường Bình Hưng Hoà B, Q. Bình Tân",POINT (106.5955385 10.81587),
Điện Thoại Vui HCM - 196 Nguyễn An Ninh,"196 Nguyễn An Ninh, Dĩ An, Bình Dương",POINT (106.7682348 10.9043159),
Điện Thoại Vui HCM - 207 Nguyễn Thị Thập,"207 Nguyễn Thị Thập, Phường Tân Phú, Quận 7",POINT (106.7185037 10.7380942),
Điện Thoại Vui HCM - 300 Đường 3 Tháng 2,"300 Đường 3 Tháng 2, Phường 12, Quận 10",POINT (106.6715612 10.7703404),
Điện Thoại Vui HCM - 352 Huỳnh Tấn Phát,"352 Huỳnh Tấn Phát, Quận 7,  TP. HCM",POINT (106.72862094907515 10.748402234008926),
Điện Thoại Vui HCM - 35 Trần Não,"35 Trần Não, Phường An Khánh, Quận 2",POINT (106.7313704 10.7961051),
Điện Thoại Vui HCM - 615 Quang Trung,"615 Quang Trung, Phường 11, Quận Gò Vấp",POINT (106.6630641 10.8350709),
Điện Thoại Vui HCM - 81A Trần Quang Khải,"81A Trần Quang Khải, Phường Tân Định, Quận 1",POINT (106.693411 10.792117),
Điện Thoại Vui HCM - Điện Thoại Vui 1176 Phạm Văn Thuận,"Điện Thoại Vui 1176 Phạm Văn Thuận, Khu phố 22, Phường Tam Hiệp, Tỉnh Đồng Nai",POINT (106.83893305582296 10.958450831034419),
Diệu Phúc - 117 - 119 Nguyễn Trung Trực,"117 - 119 Nguyễn Trung Trực, TP. Rạch Giá, Kiên Giang",POINT (105.08722894178382 10.004135954595045),CPS-KGI-RGI-117NTT
Diệu Phúc - 175 Hùng Vương,"175 Hùng Vương, P. Xuân Hòa, TX. Long Khánh, Đồng Nai",POINT (107.2406596 10.9251131),CPS-DON-LKH-175HV
Diệu Phúc - 472 - 474 Lê Trọng Tấn,"472 - 474 Lê Trọng Tấn, P. Tây Thạnh, Q. Tân Phú, TP. HCM",POINT (106.6156991 10.8093004),CPS-HCM-TPH-472LTT
Diệu Phúc - 82-84 Nguyễn Hữu Thọ,"82-84 Nguyễn Hữu Thọ, Khu phố 3, Thị Trấn Bến Lức, Long An",POINT (106.4872355 10.6392646),CPS-LAN-BLU-82NHT
HTV - 126 Kênh Liêm,"126 Kênh Liêm, TP. Hạ Long, Quảng Ninh",POINT (107.0913711 20.959053),
HTV - 21A Hàng Bài,"21A Hàng Bài, P. Hàng Bài, Q. Hoàn Kiếm, Hà Nội",POINT (105.8530086 21.0236843),CPS-HNO-HKI-21AHB
HTV - 329 Nguyễn Hữu Thọ,"329 Nguyễn Hữu Thọ, P. Hoà Cường, Q. Hải Châu, TP. Đà Nẵng",POINT (108.21045414417704 16.038015580830105),CPS-DNA-HCU-329NHT
HTV - Số 02 - 04 - 04A - 06 Nguyễn Lương Bằng,"Số 02 - 04 - 04A - 06 Nguyễn Lương Bằng, khu 12, P. Bình Hàn, TP. Hải Dương, Hải Dương",POINT (106.3205011 20.9387858),CPS-HDU-HDU-6NLB
HTV - 749 Tôn Đức Thắng,"749 Tôn Đức Thắng, P. Hoà Khánh Bắc, Q. Liên Chiểu, Đà Nẵng",POINT (108.15048246073009 16.071296957195873),CPS-DNA-LCH-749TDT
HTV - 87 Phùng Hưng,"87 Phùng Hưng, P. Phúc La, Q. Hà Đông, Hà Nội",POINT (105.78414321349344 20.970931936525176),CPS-HNO-HDO-87PH
HTV - 912 Tôn Đức Thắng,"912 Tôn Đức Thắng, P. Hòa Khánh Bắc, Q. Liên Chiểu, TP. Đà Nẵng",POINT (108.15060245582406 16.07197847329669),CPS-DNA-LCH-912TDT
HTV - 933 Trần Hưng Đạo,"933 Trần Hưng Đạo, P. Hoa Lư, H. Hoa Lư, Ninh Bình",POINT (105.97243571534163 20.25627396114839),CPS-NBI-HLU-933THD
HTV - 9 Trần Đăng Ninh,"9 Trần Đăng Ninh, P. Vĩnh Trại, TP. Lạng Sơn, Lạng Sơn",POINT (106.75757941349396 21.851800212387307),CPS-LSO-LSO-9TDN
Diệu Phúc - 1075B Hậu Giang,"1075B Hậu Giang, P. 11, Q. 6, TP. HCM",POINT (106.6241702 10.7452294),CPS-HCM-Q06-1075BHG
Diệu Phúc - 1A Nguyễn Ảnh Thủ,"1A Nguyễn Ảnh Thủ, khu phố 1, P. Hiệp Thành, Q.12, TP. HCM",POINT (106.6486243 10.8760609),CPS-HCM-Q12-1ANAT
Diệu Phúc - 491 đường 30/4,"491 đường 30/4, P. Rạch Dừa, TP. Vũng Tàu, Bà Rịa - Vũng Tàu",POINT (107.11238207301112 10.398462386875995),CPS-BRI-VTA-491BMTT
Diệu Phúc - 93/8C Nguyễn Ảnh Thủ,"93/8C Nguyễn Ảnh Thủ, P. Trung Mỹ Tây, Q.12, TP. HCM",POINT (106.6143591 10.8656508),CPS-HCM-Q12-93/8CNAT
HTV - 311 - 313 Điện Biên Phủ,"311 - 313 Điện Biên Phủ, P. Hòa Khuê, Q. Thanh Khê, Đà nẵng",POINT (108.19256449999999 16.06585378075663),CPS-DNA-TKH-313DBP
HTV - 55A Hàng Bài,"55A Hàng Bài, P. Hàng Bài, Q. Hoàn Kiếm, Hà Nội",POINT (105.85190894232896 21.020442656802388),CPS-HNO-HKI-55AHB
HTV - 679 Trạm Trôi,"679 Trạm Trôi , TT. Trạm Trôi, H. Hoài Đức, Hà Nội",POINT (105.68935203212567 21.11060287473706),CPS-HNO-HDU-679VX
HTV - 690 Hạ Long,"690 Hạ Long, Phường Bãi Cháy, TP. Hạ Long, Quảng Ninh",POINT (107.02166115766975 20.95991318797538),CPS-QNI-BCH-690HL
Diệu Phúc - 122 Hùng Vương,"122 Hùng Vương, P. 2, TP. Tân An, Long An",POINT (106.4058553 10.5365979),CPS-LAN-TAN-122HV
Diệu Phúc - 127 Nguyễn Thị Tú,"127 Nguyễn Thị Tú, P. Bình Hưng Hoà B, Q. Bình Tân, TP. HCM",POINT (106.59713238336009 10.815770084666092),CPS-HCM-BTA-127NTT
Diệu Phúc - 131A - 133 Cách Mạng Tháng 8,"131A - 133 Cách Mạng Tháng 8 , Ninh Kiều, Cần Thơ",POINT (105.77400407301113 10.051370429651115),CPS-CTH-NKI-133CMTT
Diệu Phúc - 161 Nguyễn Sơn,"161 Nguyễn Sơn, P. Phú Thạnh, Q. Tân Phú, TP. HCM",POINT (106.627234 10.7824388),CPS-HCM-TPH-161NS
Diệu Phúc - 165B - 167 - 169,"165B - 167 - 169, Trần Hưng Đạo, Khu phố 2, TP. Phan Thiết, Bình Thuận",POINT (108.10389812883518 10.936361614739193),CPS-BTH-PTH-165THD
Diệu Phúc - 165 Lê Hồng Phong,"165 Lê Hồng Phong, P.8, TP. Vũng Tàu, Bà Rịa - Vũng Tàu",POINT (107.08713444232961 10.353613059973547),CPS-BRI-VTA-165LHP
Diệu Phúc - 177 Khánh Hội,"177 Khánh Hội, P. 3, Q. 4, TP. HCM",POINT (106.7002454 10.7570872),CPS-HCM-Q04-177KH
Diệu Phúc - 183 - 185 Phú Lợi,"183 - 185 Phú Lợi, P. Phú Lợi, TP. Thủ Dầu 1, Bình Dương",POINT (106.67325353996917 10.982707006606937),CPS-BDU-TDM-183PL
Diệu Phúc - 190 Nguyễn Thị Định,"190 Nguyễn Thị Định, khu phố 2, P. An Phú, Q.2, TP. HCM",POINT (106.7538345 10.7909147),CPS-HCM-Q02-190NTD
Diệu Phúc - 193 Tỉnh Lộ 8,"193 Tỉnh Lộ 8, Khu phố 3, Thị trấn Củ Chi, H. Củ Chi, TP. HCM",POINT (106.5002732 10.9765751),CPS-HCM-CCH-193TL8
Diệu Phúc - 218-220 Trần Quang Khải,"218-220 Trần Quang Khải, P. Tân Định, Q.1, TP. HCM",POINT (106.687859 10.7914333),CPS-HCM-Q01-220TQK
Diệu Phúc - 241-243,"241-243, Đỗ Xuân Hợp, P. Phước Long B, Q.9, TP. HCM",POINT (106.76932784984533 10.8244396724291),CPS-HCM-Q09-241DXH
Diệu Phúc - 248 Nguyễn Thị Thập,"248 Nguyễn Thị Thập, P. Tân Quy, Q.7, TP. HCM",POINT (106.7155283 10.7385711),CPS-HCM-Q07-248NTT
Diệu Phúc - 300A Đoàn Hoàng Minh,"300A Đoàn Hoàng Minh, Phú Khương, T. Vĩnh Long",POINT (106.37071707116459 10.253130571449264),CPS-VLO-PKH-300ADHM
Diệu Phúc - 307 Lê Duẩn,"307 Lê Duẩn, TT. Long Thành, H. Long Thành, Đồng Nai",POINT (106.95142344232895 10.782679467019813),CPS-DON-LTH-307LD
Diệu Phúc - 139 Trần Não,"139 Trần Não, P. Bình An, Q.2, TP. HCM",POINT (106.7306895 10.7920209),CPS-HCM-Q02-139TN
Diệu Phúc - 310 Huỳnh Tấn Phát,"310 Huỳnh Tấn Phát, P. Tân Thuận Tây, Q. 7",POINT (106.72851575930622 10.750890595039365),CPS-HCM-Q07-310HTP
Diệu Phúc - 359 Cộng Hòa,"359 Cộng Hòa, P.13, Q. Tân Bình, TP. HCM",POINT (106.642319 10.802184),CPS-HCM-TBI-359CH
Diệu Phúc - 3 Thái Nguyên,"3 Thái Nguyên, P. Phước Tân, TP. Nha Trang, Khánh Hòa",POINT (109.18775045767106 12.247586515806109),CPS-KHO-NTR-3TN
Diệu Phúc - 405 Nguyễn Trung Trực,"405 Nguyễn Trung Trực, P. Rạch Giá, An Giang",POINT (105.0938541576708 9.995596304770613),CPS-AGI-RGI-405NTT
Diệu Phúc - 435 Nguyễn Thị Thập,"435 Nguyễn Thị Thập, P. Tân Phong, Q.7, TP. HCM",POINT (106.7117469 10.7385402),CPS-HCM-Q07-435NTT
Diệu Phúc - 457B Lê Đại Hành,"457B Lê Đại Hành, P.11, Q.11, TP. HCM",POINT (106.6526307 10.7682557),CPS-HCM-Q11-457LDH
Diệu Phúc - 458 - 460 Hậu Giang,"458 - 460 Hậu Giang, P.12, Q.6, TP. HCM",POINT (106.6380788 10.7489185),CPS-HCM-Q06-460HG
Diệu Phúc - 4 Nguyễn Văn Cừ,"4 Nguyễn Văn Cừ, P.1, TP. Đà Lạt, Lâm Đồng",POINT (108.43166914049989 11.940572700541868),CPS-BNI-BNI-4NVC
Diệu Phúc - 525 Quang Trung,"525 Quang Trung, P.10, Q. Gò Vấp, TP. HCM",POINT (106.6658594 10.833283),CPS-HCM-GVA-525AQT
Diệu Phúc - 536 Xô Viết Nghệ Tĩnh,"536 Xô Viết Nghệ Tĩnh, P. 25, Q. Bình Thạnh, TP. HCM",POINT (106.712522 10.80965),CPS-HCM-BTH-536XVNT
Diệu Phúc - 567 Lê Quang Định,"567 Lê Quang Định, P.1, Q. Gò Vấp, TP. HCM",POINT (106.6898614 10.8198234),CPS-HCM-GVA-567LQD
